region_no,province,year,numerator,denomiator,result,count_dead
1,เชียงใหม่,2560,39,419,9.31,39
1,ลำพูน,2560,9,48,18.75,9
1,ลำปาง,2560,21,133,15.79,21
1,แพร่,2560,17,106,16.04,17
1,น่าน,2560,39,101,38.61,39
1,พะเยา,2560,27,108,25,27
1,เชียงราย,2560,34,201,16.92,34
1,แม่ฮ่องสอน,2560,3,14,21.43,3
2,อุตรดิตถ์,2560,32,99,32.32,32
2,ตาก,2560,19,64,29.69,19
2,สุโขทัย,2560,25,76,32.89,25
2,พิษณุโลก,2560,51,341,14.96,51
2,เพชรบูรณ์,2560,79,227,34.8,79
3,ชัยนาท,2560,21,54,38.89,21
3,นครสวรรค์,2560,62,174,35.63,62
3,อุทัยธานี,2560,22,57,38.6,22
3,กำแพงเพชร,2560,36,118,30.51,36
3,พิจิตร,2560,35,120,29.17,35
4,นนทบุรี,2560,50,99,50.51,50
4,ปทุมธานี,2560,59,149,39.6,59
4,พระนครศรีอยุธยา,2560,44,101,43.56,44
4,อ่างทอง,2560,21,43,48.84,21
4,ลพบุรี,2560,49,271,18.08,49
4,สิงห์บุรี,2560,13,30,43.33,13
4,สระบุรี,2560,48,85,56.47,48
4,นครนายก,2560,23,75,30.67,23
5,ราชบุรี,2560,47,120,39.17,47
5,กาญจนบุรี,2560,35,100,35,35
5,สุพรรณบุรี,2560,44,123,35.77,44
5,นครปฐม,2560,46,111,41.44,46
5,สมุทรสาคร,2560,43,88,48.86,43
5,สมุทรสงคราม,2560,13,32,40.63,13
5,เพชรบุรี,2560,16,50,32,16
5,ประจวบคีรีขันธ์,2560,24,56,42.86,24
6,สมุทรปราการ,2560,53,119,44.54,53
6,ชลบุรี,2560,74,188,39.36,74
6,ระยอง,2560,33,83,39.76,33
6,จันทบุรี,2560,31,110,28.18,31
6,ตราด,2560,21,38,55.26,21
6,ฉะเชิงเทรา,2560,22,68,32.35,22
6,ปราจีนบุรี,2560,38,79,48.1,38
6,สระแก้ว,2560,22,63,34.92,22
7,ขอนแก่น,2560,37,727,5.09,37
7,มหาสารคาม,2560,12,117,10.26,12
7,ร้อยเอ็ด,2560,19,223,8.52,19
7,กาฬสินธุ์,2560,26,285,9.12,26
8,บึงกาฬ,2560,2,62,3.23,2
8,หนองบัวลำภู,2560,2,34,5.88,2
8,อุดรธานี,2560,33,259,12.74,33
8,เลย,2560,18,134,13.43,18
8,หนองคาย,2560,7,91,7.69,7
8,สกลนคร,2560,11,196,5.61,11
8,นครพนม,2560,11,71,15.49,11
9,นครราชสีมา,2560,138,409,33.74,138
9,บุรีรัมย์,2560,32,179,17.88,33
9,สุรินทร์,2560,28,182,15.38,28
9,ชัยภูมิ,2560,33,162,20.37,33
10,ศรีสะเกษ,2560,29,211,13.74,29
10,อุบลราชธานี,2560,28,416,6.73,28
10,ยโสธร,2560,9,75,12,9
10,อำนาจเจริญ,2560,4,57,7.02,4
10,มุกดาหาร,2560,4,52,7.69,4
11,นครศรีธรรมราช,2560,55,152,36.18,55
11,กระบี่,2560,5,28,17.86,5
11,พังงา,2560,10,34,29.41,10
11,ภูเก็ต,2560,14,33,42.42,14
11,สุราษฎร์ธานี,2560,36,177,20.34,36
11,ระนอง,2560,1,8,12.5,1
11,ชุมพร,2560,18,42,42.86,18
12,สงขลา,2560,34,317,10.73,34
12,สตูล,2560,6,28,21.43,6
12,ตรัง,2560,8,45,17.78,8
12,พัทลุง,2560,5,36,13.89,5
12,ปัตตานี,2560,9,35,25.71,9
12,ยะลา,2560,8,30,26.67,8
