id,region,province,sex,value,year
1,ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ชาย,31614938,2555
2,ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,หญิง,32651427,2555
3,กรุงเทพมหานคร,กรุงเทพมหานคร,ชาย,2691854,2555
4,กรุงเทพมหานคร,กรุงเทพมหานคร,หญิง,2982348,2555
5,กลาง,สมุทรปราการ,ชาย,584451,2555
6,กลาง,นนทบุรี,ชาย,531490,2555
7,กลาง,ปทุมธานี,ชาย,485795,2555
8,กลาง,พระนครศรีอยุธยา,ชาย,381626,2555
9,กลาง,อ่างทอง,ชาย,136278,2555
10,กลาง,ลพบุรี,ชาย,380213,2555
11,กลาง,สิงห์บุรี,ชาย,101838,2555
12,กลาง,ชัยนาท,ชาย,160827,2555
13,กลาง,สระบุรี,ชาย,308417,2555
14,กลาง,ชลบุรี,ชาย,662640,2555
15,กลาง,ระยอง,ชาย,317131,2555
16,กลาง,จันทบุรี,ชาย,255603,2555
17,กลาง,ตราด,ชาย,111018,2555
18,กลาง,ฉะเชิงเทรา,ชาย,334567,2555
19,กลาง,ปราจีนบุรี,ชาย,233827,2555
20,กลาง,นครนายก,ชาย,125991,2555
21,กลาง,สระแก้ว,ชาย,274929,2555
22,กลาง,ราชบุรี,ชาย,411985,2555
23,กลาง,กาญจนบุรี,ชาย,421124,2555
24,กลาง,สุพรรณบุรี,ชาย,410127,2555
25,กลาง,นครปฐม,ชาย,417885,2555
26,กลาง,สมุทรสาคร,ชาย,243507,2555
27,กลาง,สมุทรสงคราม,ชาย,93260,2555
28,กลาง,เพชรบุรี,ชาย,226489,2555
29,กลาง,ประจวบคีรีขันธ์,ชาย,257257,2555
30,กลาง,สมุทรปราการ,หญิง,628811,2555
31,กลาง,นนทบุรี,หญิง,600660,2555
32,กลาง,ปทุมธานี,หญิง,536572,2555
33,กลาง,พระนครศรีอยุธยา,หญิง,408955,2555
34,กลาง,อ่างทอง,หญิง,147694,2555
35,กลาง,ลพบุรี,หญิง,376880,2555
36,กลาง,สิงห์บุรี,หญิง,111564,2555
