Product_names,Prices,Sales,Promotion,Sold_out
Libre Eau de Parfum 10 ml (Tester Box),1300ß,939ß,big sale,200
Libre Eau De Parfum 7.5ml ,990ß,729ß,flash sale,290
The Yulong Eau de Toilette 7.5 ml,1590ß,990ß,flash sale,42
Si Passione Eau De Parfum 1.2 ml  Fruity-Floral,350ß,239ß,big sale,678
Signature Eau de Parfum 75ml (Tester Box),6600ß,"2,990ß",flash sale,116
Libre Eau De Parfum 50ml,5800ß,"4,190ß",flash sale,36
Signature Eau de Parfum Rollerball 10ml,1300ß,875ß,big sale,6
Libre Eau de Parfum 10 ml (No box),1300ß,929ß,flash sale,138
No.5 eau de parfum 1.5ml,350ß,251ß,big sale,308
Sauvage Elixir EDP 7.5ml,1590ß,959ß,flash sale,33
English Pear & Freesia Cologne 9 ml.,890ß,729ß,flash sale,945
Replica Lazy Sunday Morning EDT 7ml,990ß,480ß,flash sale,120
Miss Dior Blooming Bouquet Gift Set (2 items in set),990ß,-,-,27
Born In Roma EDP 6ml,790ß,588ß,big sale,18
Be 100 ml (No Box)  sport man,2650ß,"1,248ß",big sale,77
Be 100 ml  sport man,3180ß,990ß,flash sale,988
White Suede EDP 2ml,490ß,290ß,big sale,99
Elizabeth Arden Green Tea EDT 100 ml,2290ß,"1,059ß",big sale,"1,378"
Black Opium Eau De Parfum 10ml (No Box),1500ß,959ß,flash sale,94
Mon Paris Eau De Parfum 10ml (No Box),1500ß,"1,240ß",big sale,54
Flora Gorgeous Gardenia Eau De Parfum 1.5ml   GUCCI,500ß,259ß,big sale,121
Flora Gorgeous Gardenia Eau De Parfum 1.5ml   GUCCI,250ß,150ß,big sale,124
Replica Springtime In A Park EDT 100ml (No Box),5100ß,"3,990ß",flash sale,39
YSL Myslf edp 1.2 ml  Calabria  vert de bergamot,175ß,143ß,big sale,123
Black Orchid EDP 4ml,790ß,490ß,flash sale,26
Dreams EDP 4.5ml MINI  Coach,790ß,399ß,big sale,236
Dreams Sunset Eau De Parfum 4.5ml,790ß,399ß,big sale,209
Homme Sport EDT 1.5 ml,700ß,479ß,big sale,158
Allure Homme Sport EDT 1.5 ml,350ß,251ß,big sale,259
Si EDP 50ml,5500ß,"3,290ß",big sale,105
My Way EDP 7ml,790ß,599ß,big sale,251
Peony & Blush Suede Cologne 9ml.,890ß,690ß,big sale,473
Black Opium Eau De Parfum 3ml,590ß,359ß,big sale,123
ECLAT D'ARPEGE EDP 30 ml,2200ß,890ß,flash sale,"3,908"
Miss Dior Blooming Bouquet Gift Set (2 items in set),1290ß,899ß,big sale,279
Gris Perfume EDP 7.5ml  Chypre,1800ß,829ß,flash sale,58
Si Passione Eau De Parfum 1.2 ml  Fruity-Floral,175ß,129ß,big sale,457
Giorgio Armani Si Passione Eau De Parfum 100ml (Tester Box)  Fruity-Floral,6000ß,"4,490ß",flash sale,45
English Pear & Freesia Cologne 9 ml,890ß,690ß,big sale,115
Miss Dior Blooming Bouquet EDT 5 ml (New Package),690ß,479ß,flash sale,299
