จำนวนประชากรกลางปี จำแนกตามเพศ ภาค และจังหวัด (จากกระทรวงสาธารณสุข) พ.ศ. 2555-2566 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หน่วย: คน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2555,,,2556,,,2557,,,2558,,,2559,,,2560,,,2561,,,2562,,,2563,,,2564,,,2565,,,2566,,
ภาค,จังหวัด,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,"64,266,365","31,614,938","32,651,427","64,621,302","31,773,349","32,847,953","64,955,313","31,922,490","33,032,823","65,027,401","31,932,092","33,095,309","65,013,495","31,894,480","33,119,015","65,204,797","31,966,108","33,238,689","65,406,320","32,043,770","33,362,550","65,557,054","32,094,943","33,462,111","65,421,139","31,992,542","33,428,597","65,212,951","31,851,887","33,361,064","65,152,132","31,792,250","33,359,882","65,083,836","31,729,267","33,354,569"
กรุงเทพมหานคร,กรุงเทพมหานคร,"5,674,202","2,691,854","2,982,348","5,679,906","2,692,838","2,987,068","5,689,268","2,695,220","2,994,048","5,648,978","2,670,160","2,978,818","5,598,873","2,640,115","2,958,758","5,586,320","2,631,290","2,955,030","5,575,104","2,624,056","2,951,048","5,563,137","2,615,082","2,948,055","5,522,253","2,590,036","2,932,217","5,457,986","2,554,097","2,903,889","5,411,503","2,527,111","2,884,392","5,383,238","2,508,520","2,874,718"
,กรุงเทพมหานคร,"5,674,202","2,691,854","2,982,348","5,679,906","2,692,838","2,987,068","5,689,268","2,695,220","2,994,048","5,648,978","2,670,160","2,978,818","5,598,873","2,640,115","2,958,758","5,586,320","2,631,290","2,955,030","5,575,104","2,624,056","2,951,048","5,563,137","2,615,082","2,948,055","5,522,253","2,590,036","2,932,217","5,457,986","2,554,097","2,903,889","5,411,503","2,527,111","2,884,392","5,383,238","2,508,520","2,874,718"
ภาคกลาง,ภาคกลาง,"16,141,516","7,868,275","8,273,241","16,294,887","7,938,307","8,356,580","16,449,447","8,009,467","8,439,980","16,533,566","8,042,916","8,490,650","16,590,292","8,062,058","8,528,234","16,707,028","8,113,480","8,593,548","16,829,185","8,169,201","8,659,984","16,944,591","8,222,635","8,721,956","16,991,852","8,236,143","8,755,709","17,012,347","8,234,905","8,777,442","5,411,503","8,248,315","8,806,123","17,104,778","8,262,746","8,842,032"
,สมุทรปราการ,"1,213,262","584,451","628,811","1,232,457","592,860","639,597","1,251,570","601,223","650,347","1,263,904","606,228","657,676","1,272,447","609,357","663,090","1,286,150","615,192","670,958","1,300,830","621,624","679,206","1,316,944","628,784","688,160","1,329,298","633,664","695,634","1,335,201","635,287","699,914","1,339,787","636,538","703,249","1,348,728","639,664","709,064"
,นนทบุรี,"1,132,150","531,490","600,660","1,148,973","538,954","610,019","1,165,070","546,068","619,002","1,180,178","552,535","627,643","1,195,218","558,777","636,441","1,212,349","566,033","646,316","1,228,649","573,008","655,641","1,246,008","580,473","665,535","1,261,099","586,724","674,375","1,272,643","591,284","681,359","1,282,096","594,892","703,249","1,291,795","598,387","693,408"
,ปทุมธานี,"1,022,367","485,795","536,572","1,043,498","495,867","547,631","1,063,608","505,435","558,173","1,081,026","513,376","567,650","1,096,050","520,213","575,837","1,112,513","527,747","584,766","1,129,006","535,155","593,851","1,145,680","542,905","602,775","1,160,624","549,840","610,784","1,173,613","555,582","618,031","1,185,816","560,947","624,869","1,199,942","567,154","632,788"
,พระนครศรีอยุธยา,"790,581","381,626","408,955","795,740","383,927","411,813","800,785","386,223","414,562","805,124","388,033","417,091","807,606","388,974","418,632","810,232","390,226","420,006","813,622","391,742","421,880","816,709","393,108","423,601","817,527","393,100","424,427","817,688","392,665","425,023","818,325","392,716","425,609","819,086","392,809","426,277"
