PROV_T,NUMERATOR_PROV,DENOMINATOR_PROV,RESULT_PROV,COUNT,YEAR
เชียงใหม่,117,3067,3.81,117,2560
ลำพูน,41,756,5.42,41,2560
ลำปาง,80,1615,4.95,80,2560
แพร่,44,702,6.27,44,2560
น่าน,85,1113,7.64,85,2560
พะเยา,62,832,7.45,62,2560
เชียงราย,135,2080,6.49,135,2560
แม่ฮ่องสอน,13,377,3.45,13,2560
อุตรดิตถ์,60,613,9.79,60,2560
ตาก,54,834,6.47,54,2560
สุโขทัย,60,542,11.07,60,2560
พิษณุโลก,61,778,7.84,61,2560
เพชรบูรณ์,73,1212,6.02,73,2560
ชัยนาท,57,383,14.88,57,2560
นครสวรรค์,56,859,6.52,56,2560
อุทัยธานี,19,373,5.09,19,2560
กำแพงเพชร,49,867,5.65,49,2560
พิจิตร,19,552,3.44,19,2560
นนทบุรี,47,410,11.46,47,2560
ปทุมธานี,46,403,11.41,46,2560
พระนครศรีอยุธยา,46,505,9.11,46,2560
อ่างทอง,20,290,6.9,20,2560
ลพบุรี,86,794,10.83,86,2560
สิงห์บุรี,16,155,10.32,16,2560
สระบุรี,50,546,9.16,50,2560
นครนายก,25,296,8.45,25,2560
ราชบุรี,74,774,9.56,74,2560
กาญจนบุรี,55,838,6.56,55,2560
สุพรรณบุรี,67,788,8.5,67,2560
นครปฐม,59,566,10.42,59,2560
สมุทรสาคร,26,365,7.12,26,2560
สมุทรสงคราม,31,254,12.2,31,2560
เพชรบุรี,47,423,11.11,47,2560
ประจวบคีรีขันธ์,32,587,5.45,32,2560
สมุทรปราการ,54,454,11.89,54,2560
ชลบุรี,89,826,10.77,89,2560
ระยอง,35,526,6.65,35,2560
จันทบุรี,53,922,5.75,53,2560
ตราด,34,323,10.53,34,2560
ฉะเชิงเทรา,55,645,8.53,55,2560
ปราจีนบุรี,38,408,9.31,38,2560
สระแก้ว,37,414,8.94,37,2560
ขอนแก่น,34,1788,1.9,34,2560
มหาสารคาม,25,837,2.99,25,2560
ร้อยเอ็ด,36,893,4.03,36,2560
กาฬสินธุ์,42,960,4.38,42,2560
บึงกาฬ,5,459,1.09,5,2560
หนองบัวลำภู,10,291,3.44,10,2560
อุดรธานี,38,1343,2.83,38,2560
เลย,28,724,3.87,28,2560
หนองคาย,14,456,3.07,14,2560
สกลนคร,15,728,2.06,15,2560
นครพนม,12,465,2.58,12,2560
นครราชสีมา,252,2356,10.7,252,2560
บุรีรัมย์,45,1310,3.44,45,2560
สุรินทร์,37,1037,3.57,37,2560
ชัยภูมิ,40,1119,3.57,40,2560
ศรีสะเกษ,66,1144,5.77,66,2560
อุบลราชธานี,64,1629,3.93,64,2560
ยโสธร,25,519,4.82,25,2560
อำนาจเจริญ,4,260,1.54,4,2560
มุกดาหาร,12,329,3.65,12,2560
นครศรีธรรมราช,111,2423,4.58,111,2560
กระบี่,15,541,2.77,15,2560
พังงา,18,330,5.45,18,2560
ภูเก็ต,15,276,5.43,15,2560
สุราษฎร์ธานี,69,1440,4.79,69,2560
ระนอง,29,290,10,29,2560
ชุมพร,46,772,5.96,46,2560
สงขลา,90,1681,5.35,90,2560
สตูล,16,450,3.56,16,2560
ตรัง,38,1167,3.26,38,2560
พัทลุง,28,645,4.34,28,2560
ปัตตานี,44,837,5.26,44,2560
ยะลา,37,794,4.66,37,2560
นราธิวาส,42,1192,3.52,42,2560
กรุงเทพฯ,238,1814,13.12,238,2560
เชียงใหม่,123,3237,3.8,123,2561
ลำพูน,46,816,5.64,46,2561
ลำปาง,73,1579,4.62,73,2561
แพร่,55,718,7.66,55,2561
น่าน,84,1110,7.57,84,2561
พะเยา,60,924,6.49,60,2561
เชียงราย,108,2098,5.15,108,2561
แม่ฮ่องสอน,9,417,2.16,9,2561
อุตรดิตถ์,50,594,8.42,50,2561
ตาก,69,915,7.54,69,2561
สุโขทัย,51,597,8.54,51,2561
พิษณุโลก,44,732,6.01,44,2561
